R(x),Decomposable,P(x),Q(x)
15588365312*x**15 + 13489931520*x**14 - 37299084160*x**13 + 67052564384*x**12 + 103700437412*x**11 - 165532385519*x**10 + 108120880948*x**9 + 260235820074*x**8 - 293352021896*x**7 + 102393664810*x**6 + 279037523416*x**5 - 255192466804*x**4 + 84666415724*x**3 + 112747315239*x**2 - 93774112292*x + 42578918432,1,41*x**5 - 86*x**4 - 6*x**3 - 20*x**2 - 17*x + 96,52*x**3 + 9*x**2 - 28*x + 64
683593750*x**15 - 136718750*x**14 + 11768750000*x**13 - 3270750000*x**12 + 81228883750*x**11 - 28837095070*x**10 + 282086858200*x**9 - 121120153056*x**8 + 498636324564*x**7 - 246877786555*x**6 + 378519766006*x**5 - 199287287323*x**4 + 46222521974*x**3 - 5448797294*x**2 + 322599244*x - 7654057,1,-70*x**5 - 56*x**4 - 84*x**3 - 95*x**2 - 54*x - 17,-25*x**3 + x**2 - 86*x + 10
1019215872*x**15 - 5202247680*x**14 + 19114721280*x**13 - 45391472640*x**12 + 86410138560*x**11 - 122261280196*x**10 + 141650270080*x**9 - 121347699495*x**8 + 83072996160*x**7 - 35428099752*x**6 + 10658304192*x**5 + 986388162*x**4 + 20467584*x**3 + 9468*x**2 + 5440*x + 117,1,-4*x**5 - 15*x**4 + 42*x**2 - 60*x - 59,-48*x**3 + 49*x**2 - 80*x - 2
-34931250*x**15 - 465750000*x**14 - 2949750000*x**13 - 10812121875*x**12 - 22869300000*x**11 - 18316900000*x**10 + 35572207375*x**9 + 112028459000*x**8 + 74982083000*x**7 - 125903356775*x**6 - 225893606800*x**5 + 30225042800*x**4 + 240784274785*x**3 + 35999979160*x**2 - 185140694440*x + 62000010578,1,-46*x**5 - 5*x**4 + 17*x**3 + 28*x**2 + 22*x + 14,15*x**3 + 40*x**2 + 40*x - 67
313059766185*x**15 - 521766276975*x**14 + 886441631850*x**13 - 2489143063275*x**12 + 2955790776825*x**11 - 3833043970545*x**10 + 6280746699564*x**9 - 5554086765789*x**8 + 5683692495696*x**7 - 6646212977403*x**6 + 4202884356210*x**5 - 3395254575827*x**4 + 2947606490966*x**3 - 1090174089906*x**2 + 673096032704*x - 413636592172,1,45*x**5 - 75*x**4 - 48*x**3 + 37*x**2 + 50*x - 76,93*x**3 - 31*x**2 + 32*x - 98
24302251926*x**15 + 63476031150*x**14 + 122539869090*x**13 + 249270439641*x**12 + 356125410210*x**11 + 453399268452*x**10 + 563338123410*x**9 + 555191577879*x**8 + 510889665810*x**7 + 446986081999*x**6 + 308911917088*x**5 + 205320368802*x**4 + 125004358290*x**3 + 52491180299*x**2 + 22952651720*x + 7928016265,1,18*x**5 + 51*x**4 - 12*x**3 - 47*x**2 + 28*x - 77,67*x**3 + 35*x**2 + 31*x + 53
-38705025177*x**15 - 52221065715*x**14 - 144912238380*x**13 - 429502183614*x**12 - 512228000529*x**11 - 966426103383*x**10 - 1622395527510*x**9 - 1584584391364*x**8 - 2229499645180*x**7 - 2598724543035*x**6 - 1926741649834*x**5 - 2075497889651*x**4 - 1706714851625*x**3 - 788799068791*x**2 - 638010739362*x - 323463534581,1,39*x**5 - 64*x**4 + 36*x**3 - 55*x**2 + 75*x + 43,-63*x**3 - 17*x**2 - 38*x - 96
7449400224*x**15 - 23057667360*x**14 + 48057922080*x**13 - 117335938608*x**12 + 197928019296*x**11 - 282820710336*x**10 + 427214665608*x**9 - 496845720264*x**8 + 522392777952*x**7 - 567938055468*x**6 + 462075366984*x**5 - 355327823796*x**4 + 281504628468*x**3 - 136857630168*x**2 + 70482223548*x - 37099232431,1,57*x**5 + 27*x**4 - 39*x**3 - 15*x**2 + 18*x + 89,42*x**3 - 26*x**2 + 22*x - 58
-98789673696*x**15 - 57435856800*x**14 + 405924578640*x**13 + 257625666768*x**12 - 648036257520*x**11 - 458323081296*x**10 + 483237670056*x**9 + 402176280072*x**8 - 142555776654*x**7 - 171120885538*x**6 - 9487408315*x**5 + 25560369957*x**4 + 9583702746*x**3 + 1517529484*x**2 + 115065301*x + 3423047,1,-21*x**5 - 87*x**4 + 14*x**2 + 35*x + 11,86*x**3 + 10*x**2 - 73*x - 12
-216268800000*x**15 + 946176000000*x**14 - 1223270400000*x**13 - 1160442880000*x**12 + 4840952000000*x**11 - 3419144072000*x**10 - 4287394880000*x**9 + 8146949901200*x**8 - 1689786612800*x**7 - 5922142215320*x**6 + 4664542514112*x**5 + 981307474612*x**4 - 2570142387216*x**3 + 636566206238*x**2 + 455427306656*x - 230661943497,1,-66*x**5 - 13*x**4 + 49*x**3 - 92*x**2 - 34*x + 99,80*x**3 - 70*x**2 - 32*x + 81
